alert,risk,riskcode,confidence,cwe,wasc,url,method,param,evidence,description,solution,reference
PII Disclosure,HIGH,3,High,359,13,https://localhost:8443/benchmark/weakrand-01/BenchmarkTest00489,POST,,5778556046699223746 ,"<p>The response contains Personally Identifiable Information, such as CC number, SSN and similar sensitive data.</p>","<p>Check the response for the potential presence of personally identifiable information (PII), ensure nothing sensitive is leaked by the application.</p>",
PII Disclosure,HIGH,3,High,359,13,https://localhost:8443/benchmark/weakrand-03/BenchmarkTest01448,POST,,4395359389929303 ,"<p>The response contains Personally Identifiable Information, such as CC number, SSN and similar sensitive data.</p>","<p>Check the response for the potential presence of personally identifiable information (PII), ensure nothing sensitive is leaked by the application.</p>",
PII Disclosure,HIGH,3,High,359,13,https://localhost:8443/benchmark/weakrand-03/BenchmarkTest01575,POST,,5500551491347072 ,"<p>The response contains Personally Identifiable Information, such as CC number, SSN and similar sensitive data.</p>","<p>Check the response for the potential presence of personally identifiable information (PII), ensure nothing sensitive is leaked by the application.</p>",
PII Disclosure,HIGH,3,High,359,13,https://localhost:8443/benchmark/weakrand-04/BenchmarkTest02004,POST,,5633682366134745812 ,"<p>The response contains Personally Identifiable Information, such as CC number, SSN and similar sensitive data.</p>","<p>Check the response for the potential presence of personally identifiable information (PII), ensure nothing sensitive is leaked by the application.</p>",
PII Disclosure,HIGH,3,High,359,13,https://localhost:8443/benchmark/weakrand-05/BenchmarkTest02255,POST,,4693919305879798 ,"<p>The response contains Personally Identifiable Information, such as CC number, SSN and similar sensitive data.</p>","<p>Check the response for the potential presence of personally identifiable information (PII), ensure nothing sensitive is leaked by the application.</p>",
Absence of Anti-CSRF Tokens,MEDIUM,2,Low,352,9,https://localhost:8443/benchmark/cmdi-00/BenchmarkTest00015.html?BenchmarkTest00015=SafeText,GET,,"<form action=""/benchmark/cmdi-00/BenchmarkTest00015"" method=""POST"" id=""FormBenchmarkTest00015"" autocomplete=""off"">",<p>No Anti-CSRF tokens were found in a HTML submission form.</p><p>A cross-site request forgery is an attack that involves forcing a victim to send an HTTP request to a target destination without their knowledge or intent in order to perform an action as the victim. The underlying cause is applicati,"<p>Phase: Architecture and Design</p><p>Use a vetted library or framework that does not allow this weakness to occur or provides constructs that make this weakness easier to avoid.</p><p>For example, use anti-CSRF packages such as the OWASP CSRFGuard.</p><p></p><p>Phase: Implementation</p><p>Ensure ",<p>https://cheatsheetseries.owasp.org/cheatsheets/Cross-Site_Request_Forgery_Prevention_Cheat_Sheet.html</p><p>https://cwe.mitre.org/data/definitions/
Absence of Anti-CSRF Tokens,MEDIUM,2,Low,352,9,https://localhost:8443/benchmark/ldapi-00/BenchmarkTest00012.html?BenchmarkTest00012=SafeText,GET,,"<form action=""/benchmark/ldapi-00/BenchmarkTest00012"" method=""POST"" id=""FormBenchmarkTest00012"" autocomplete=""off"">",<p>No Anti-CSRF tokens were found in a HTML submission form.</p><p>A cross-site request forgery is an attack that involves forcing a victim to send an HTTP request to a target destination without their knowledge or intent in order to perform an action as the victim. The underlying cause is applicati,"<p>Phase: Architecture and Design</p><p>Use a vetted library or framework that does not allow this weakness to occur or provides constructs that make this weakness easier to avoid.</p><p>For example, use anti-CSRF packages such as the OWASP CSRFGuard.</p><p></p><p>Phase: Implementation</p><p>Ensure ",<p>https://cheatsheetseries.owasp.org/cheatsheets/Cross-Site_Request_Forgery_Prevention_Cheat_Sheet.html</p><p>https://cwe.mitre.org/data/definitions/
Absence of Anti-CSRF Tokens,MEDIUM,2,Low,352,9,https://localhost:8443/benchmark/ldapi-00/BenchmarkTest00044.html?BenchmarkTest00044=SafeText,GET,,"<form action=""/benchmark/ldapi-00/BenchmarkTest00044"" method=""POST"" id=""FormBenchmarkTest00044"" autocomplete=""off"">",<p>No Anti-CSRF tokens were found in a HTML submission form.</p><p>A cross-site request forgery is an attack that involves forcing a victim to send an HTTP request to a target destination without their knowledge or intent in order to perform an action as the victim. The underlying cause is applicati,"<p>Phase: Architecture and Design</p><p>Use a vetted library or framework that does not allow this weakness to occur or provides constructs that make this weakness easier to avoid.</p><p>For example, use anti-CSRF packages such as the OWASP CSRFGuard.</p><p></p><p>Phase: Implementation</p><p>Ensure ",<p>https://cheatsheetseries.owasp.org/cheatsheets/Cross-Site_Request_Forgery_Prevention_Cheat_Sheet.html</p><p>https://cwe.mitre.org/data/definitions/
Absence of Anti-CSRF Tokens,MEDIUM,2,Low,352,9,https://localhost:8443/benchmark/securecookie-00/BenchmarkTest00016.html?BenchmarkTest00016=SafeText,GET,,"<form action=""/benchmark/securecookie-00/BenchmarkTest00016"" method=""POST"" id=""FormBenchmarkTest00016"" autocomplete=""off",<p>No Anti-CSRF tokens were found in a HTML submission form.</p><p>A cross-site request forgery is an attack that involves forcing a victim to send an HTTP request to a target destination without their knowledge or intent in order to perform an action as the victim. The underlying cause is applicati,"<p>Phase: Architecture and Design</p><p>Use a vetted library or framework that does not allow this weakness to occur or provides constructs that make this weakness easier to avoid.</p><p>For example, use anti-CSRF packages such as the OWASP CSRFGuard.</p><p></p><p>Phase: Implementation</p><p>Ensure ",<p>https://cheatsheetseries.owasp.org/cheatsheets/Cross-Site_Request_Forgery_Prevention_Cheat_Sheet.html</p><p>https://cwe.mitre.org/data/definitions/
Absence of Anti-CSRF Tokens,MEDIUM,2,Low,352,9,https://localhost:8443/benchmark/securecookie-00/BenchmarkTest00170.html?BenchmarkTest00170=SafeText,GET,,"<form action=""/benchmark/securecookie-00/BenchmarkTest00170"" method=""POST"" id=""FormBenchmarkTest00170"" autocomplete=""off",<p>No Anti-CSRF tokens were found in a HTML submission form.</p><p>A cross-site request forgery is an attack that involves forcing a victim to send an HTTP request to a target destination without their knowledge or intent in order to perform an action as the victim. The underlying cause is applicati,"<p>Phase: Architecture and Design</p><p>Use a vetted library or framework that does not allow this weakness to occur or provides constructs that make this weakness easier to avoid.</p><p>For example, use anti-CSRF packages such as the OWASP CSRFGuard.</p><p></p><p>Phase: Implementation</p><p>Ensure ",<p>https://cheatsheetseries.owasp.org/cheatsheets/Cross-Site_Request_Forgery_Prevention_Cheat_Sheet.html</p><p>https://cwe.mitre.org/data/definitions/
